Unique_ID,Date,FileName,Time,CallType,MicUsed,StartTime,Start_duet_sec,Distance
4,6/15/2016,TOP_20160615_064553.wav,6:56:00,Duet,2,6:45:53,33.5,38.2
13,7/25/2016,TOP_20160725_050000.wav,6:58:00,Duet,1,5:00:00,33.7,43.4
