Group,pythagoras_distance,ExpectedSPL
exp,1,100
exp,2,93.97940009
exp,4,87.95880017
exp,8,81.93820026
exp,10,80
exp,25,72.04119983
exp,50,66.02059991
exp,75,62.49877473
exp,100,60
exp,125,58.06179974
exp,150,56.47817482
exp,175,55.13923903
exp,200,53.97940009
