Date,Observer,start_time,start_hour,Beh_When_Enc
5/31/2011,Obs1,10:39:31,10,Vocalizing
6/1/2011,Obs1,5:44:22,5,Vocalizing
6/1/2011,Obs1,6:55:06,6,Vocalizing
6/1/2011,Obs1,7:00:48,7,Vocalizing
6/2/2011,Obs1,6:27:15,6,Vocalizing
6/2/2011,Obs1,6:32:27,6,Vocalizing
6/2/2011,Obs1,6:46:26,6,Vocalizing
6/2/2011,Obs1,6:47:43,6,Vocalizing
6/2/2011,Obs1,10:22:37,10,Vocalizing
6/5/2011,Obs1,15:37:00,15,Vocalizing
6/6/2011,Obs1,7:31:15,7,Vocalizing
6/6/2011,Obs1,7:34:33,7,Vocalizing
6/6/2011,Obs1,13:20:52,13,Vocalizing
6/6/2011,Obs1,14:02:42,14,Vocalizing
6/9/2011,Obs1,7:40:20,7,Vocalizing
6/10/2011,Obs1,6:10:23,6,Vocalizing
6/10/2011,Obs1,6:50:48,6,Vocalizing
6/12/2011,Obs1,16:11:59,16,Vocalizing
6/14/2011,Obs1,10:58:00,10,Vocalizing
6/14/2011,Obs1,16:22:49,16,Vocalizing
6/15/2011,Obs1,9:29:41,9,Vocalizing
6/15/2011,Obs1,10:39:40,10,Vocalizing
6/15/2011,Obs1,13:30:02,13,Vocalizing
6/15/2011,Obs1,13:33:00,13,OU/CHI/WH/DU/WH/
6/15/2011,Obs1,13:38:00,13,Vocalizing
6/20/2011,Obs1,6:23:35,6,Vocalizing
6/20/2011,Obs1,6:26:46,6,Vocalizing
6/20/2011,Obs1,8:08:35,8,Vocalizing
6/20/2011,Obs1,13:58:41,13,Vocalizing
6/24/2011,Obs1,11:14:55,11,Vocalizing
6/28/2011,Obs1,5:27:26,5,Vocalizing
6/28/2011,Obs1,7:05:12,7,Vocalizing
6/29/2011,Obs1,10:13:04,10,Vocalizing
6/29/2011,Obs1,10:23:24,10,Vocalizing
7/8/2011,Obs1,9:55:24,9,Vocalizing
7/16/2011,Obs1,6:30:36,6,Vocalizing
7/25/2011,Obs1,11:34:20,11,Vocalizing
7/25/2011,Obs1,11:36:49,11,Vocalizing
7/26/2011,Obs1,14:59:00,14,Vocalizing
9/7/2011,Obs1,7:25:13,7,Vocalizing
9/8/2011,Obs1,6:36:36,6,Vocalizing
9/13/2011,Obs1,6:59:35,6,Vocalizing
9/17/2011,Obs1,5:35:56,5,Vocalizing
